,Municipality,Property_type,Year,Price_min,Price_max,Size_min,Size_max,totalhits,number_of_pages
0,København,villa,2023,nothing,nothing,nothing,nothing,659,33
1,København,villa,2022,nothing,nothing,nothing,nothing,447,23
2,København,villa,2021,nothing,nothing,nothing,nothing,709,36
3,København,villa,2020,nothing,nothing,nothing,nothing,772,39
4,København,villa,2019,nothing,nothing,nothing,nothing,640,32
5,København,villa,2018,nothing,nothing,nothing,nothing,692,35
6,København,villa,2017,nothing,nothing,nothing,nothing,761,39
7,København,villa,2016,nothing,nothing,nothing,nothing,739,37
8,København,villa,2015,nothing,nothing,nothing,nothing,746,38
9,København,villa,2014,nothing,nothing,nothing,nothing,724,37
10,København,villa,2013,nothing,nothing,nothing,nothing,680,34
11,København,condo,2023,nothing,nothing,nothing,nothing,6919,346
12,København,condo,2022,nothing,nothing,nothing,nothing,5534,277
13,København,condo,2021,nothing,nothing,nothing,nothing,9252,463
14,København,condo,2020,nothing,nothing,nothing,nothing,8431,422
15,København,condo,2019,nothing,nothing,nothing,nothing,7191,360
16,København,condo,2018,nothing,nothing,nothing,nothing,7807,391
17,København,condo,2017,nothing,nothing,nothing,nothing,8997,450
18,København,condo,2016,nothing,nothing,nothing,nothing,8449,423
19,København,condo,2015,nothing,nothing,nothing,nothing,9089,455
20,København,condo,2014,nothing,nothing,nothing,nothing,7337,367
21,København,condo,2013,nothing,nothing,nothing,nothing,5668,284
22,København,terraced house,nothing,nothing,nothing,nothing,nothing,5363,269
23,Frederiksberg,villa,nothing,nothing,nothing,nothing,nothing,807,41
24,Frederiksberg,condo,2023,nothing,nothing,nothing,nothing,1377,69
25,Frederiksberg,condo,2022,nothing,nothing,nothing,nothing,1074,54
26,Frederiksberg,condo,2021,nothing,nothing,nothing,nothing,1589,80
27,Frederiksberg,condo,2020,nothing,nothing,nothing,nothing,1625,82
28,Frederiksberg,condo,2019,nothing,nothing,nothing,nothing,1502,76
29,Frederiksberg,condo,2018,nothing,nothing,nothing,nothing,1518,76
30,Frederiksberg,condo,2017,nothing,nothing,nothing,nothing,1687,85
31,Frederiksberg,condo,2016,nothing,nothing,nothing,nothing,1610,81
32,Frederiksberg,condo,2015,nothing,nothing,nothing,nothing,1632,82
33,Frederiksberg,condo,2014,nothing,nothing,nothing,nothing,1509,76
34,Frederiksberg,condo,2013,nothing,nothing,nothing,nothing,1282,65
35,Frederiksberg,terraced house,nothing,nothing,nothing,nothing,nothing,473,24
36,Gentofte,villa,nothing,nothing,nothing,nothing,nothing,8365,419
37,Gentofte,condo,nothing,nothing,nothing,nothing,nothing,7801,391
38,Gentofte,terraced house,nothing,nothing,nothing,nothing,nothing,1745,88
39,Gladsaxe,villa,nothing,nothing,nothing,nothing,nothing,5284,265
40,Gladsaxe,condo,nothing,nothing,nothing,nothing,nothing,3580,179
41,Gladsaxe,terraced house,nothing,nothing,nothing,nothing,nothing,2567,129
42,Hvidovre,villa,nothing,nothing,nothing,nothing,nothing,5458,273
43,Hvidovre,condo,nothing,nothing,nothing,nothing,nothing,1494,75
44,Hvidovre,terraced house,nothing,nothing,nothing,nothing,nothing,1205,61
45,Tårnby,villa,nothing,nothing,nothing,nothing,nothing,5302,266
46,Tårnby,condo,nothing,nothing,nothing,nothing,nothing,1395,70
47,Tårnby,terraced house,nothing,nothing,nothing,nothing,nothing,1248,63
48,Rødovre,villa,nothing,nothing,nothing,nothing,nothing,3195,160
49,Rødovre,condo,nothing,nothing,nothing,nothing,nothing,2173,109
50,Rødovre,terraced house,nothing,nothing,nothing,nothing,nothing,1701,86
51,Herlev,villa,nothing,nothing,nothing,nothing,nothing,2250,113
52,Herlev,condo,nothing,nothing,nothing,nothing,nothing,280,14
53,Herlev,terraced house,nothing,nothing,nothing,nothing,nothing,1007,51
54,Ballerup,villa,nothing,nothing,nothing,nothing,nothing,4856,243
55,Ballerup,condo,nothing,nothing,nothing,nothing,nothing,818,41
56,Ballerup,terraced house,nothing,nothing,nothing,nothing,nothing,945,48
57,Brøndby,villa,nothing,nothing,nothing,nothing,nothing,2586,130
58,Brøndby,condo,nothing,nothing,nothing,nothing,nothing,271,14
59,Brøndby,terraced house,nothing,nothing,nothing,nothing,nothing,1009,51
60,Albertslund,villa,nothing,nothing,nothing,nothing,nothing,1150,58
61,Albertslund,condo,nothing,nothing,nothing,nothing,nothing,526,27
62,Albertslund,terraced house,nothing,nothing,nothing,nothing,nothing,1679,84
63,Glostrup,villa,nothing,nothing,nothing,nothing,nothing,1987,100
64,Glostrup,condo,nothing,nothing,nothing,nothing,nothing,1075,54
65,Glostrup,terraced house,nothing,nothing,nothing,nothing,nothing,515,26
66,Dragør,villa,nothing,nothing,nothing,nothing,nothing,2413,121
67,Dragør,condo,nothing,nothing,nothing,nothing,nothing,309,16
68,Dragør,terraced house,nothing,nothing,nothing,nothing,nothing,915,46
69,Vallensbæk,villa,nothing,nothing,nothing,nothing,nothing,1520,76
70,Vallensbæk,condo,nothing,nothing,nothing,nothing,nothing,1222,62
71,Vallensbæk,terraced house,nothing,nothing,nothing,nothing,nothing,1216,61
72,Ishøj,villa,nothing,nothing,nothing,nothing,nothing,1401,71
73,Ishøj,condo,nothing,nothing,nothing,nothing,nothing,996,50
74,Ishøj,terraced house,nothing,nothing,nothing,nothing,nothing,1096,55
75,Lyngby-Taarbæk,villa,nothing,nothing,nothing,nothing,nothing,4975,249
